Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,92.0,-113.5,-90.0,top
C2,100n,C_0402_1005Metric,131.25,-106.5,-90.0,top
C3,100n,C_0402_1005Metric,160.75,-114.25,-90.0,top
C4,220n,C_0402_1005Metric,101.77,-108.75,0.0,top
C6,220n,C_0402_1005Metric,135.25,-113.5,-90.0,top
C8,220n,C_0402_1005Metric,155.0,-122.25,-90.0,top
D1,TSAL4400,LED_D3.0mm_IRBlack,94.25,-100.0,45.0,top
D2,TSAL4400,LED_D3.0mm_IRBlack,123.75,-100.235,-90.0,top
D3,TSAL4400,LED_D3.0mm_IRBlack,159.25,-99.75,0.0,top
J1,Conn_02x14_Odd_Even,PinHeader_2x14_P2.54mm_Vertical,125.87,-122.225,90.0,bottom
LED1,PD333-3B/H0/L2,LED_PD333_EVE,91.094999,-105.75,0.0,top
LED2,PD333-3B/H0/L2,LED_PD333_EVE,129.615,-101.384999,-90.0,top
LED3,PD333-3B/H0/L2,LED_PD333_EVE,163.648025,-104.851974,-135.0,top
Q1,2N3904,TO-92_Inline,97.48,-109.89,0.0,top
Q2,2N3904,TO-92_Inline,121.14,-111.0,90.0,top
Q3,2N3904,TO-92_Inline,157.98,-109.64,0.0,top
R1,2.2k,R_0402_1005Metric,98.74,-103.0,180.0,top
R2,1.8k,R_0603_1608Metric,98.25,-105.5,180.0,top
R3,75k,R_0603_1608Metric,98.175,-114.25,-90.0,top
R4,10,R_0402_1005Metric,98.74,-101.25,180.0,top
R5,75k,R_0603_1608Metric,134.75,-107.0,-90.0,top
R6,2.2k,R_0402_1005Metric,118.7275,-103.81,0.0,top
R7,1.8k,R_0603_1608Metric,118.5875,-107.0,0.0,top
R8,75k,R_0603_1608Metric,164.0,-114.25,-90.0,top
R9,10,R_0402_1005Metric,125.75,-108.740001,-90.0,top
R10,2.2k,R_0402_1005Metric,149.5,-110.25,-90.0,top
R11,1.8k,R_0603_1608Metric,153.5,-110.0,90.0,top
R12,10,R_0402_1005Metric,155.0,-102.5,0.0,top
R16,56k,R_0603_1608Metric,159.75,-118.0,-90.0,top
R17,56k,R_0603_1608Metric,130.0,-114.25,-90.0,top
R18,56k,R_0603_1608Metric,107.675,-102.25,0.0,top
